date,price_usd_per_ton
2015-01-02,23.99256706237793
2015-01-05,23.01369857788086
2015-01-06,23.116376876831055
2015-01-07,23.40387725830078
2015-01-08,23.780366897583008
2015-01-09,23.50655746459961
2015-01-12,23.0889949798584
2015-01-13,22.705659866333008
2015-01-14,22.034828186035156
2015-01-15,21.952686309814453
2015-01-16,22.4523868560791
2015-01-20,22.383935928344727
2015-01-21,22.849411010742188
2015-01-22,23.054767608642578
2015-01-23,21.973220825195312
2015-01-26,22.10327911376953
2015-01-27,22.110124588012695
2015-01-28,21.733638763427734
2015-01-29,21.548816680908203
2015-01-30,21.637805938720703
2015-02-02,22.06905746459961
2015-02-03,23.130069732666016
2015-02-04,22.46607780456543
2015-02-05,22.965778350830078
2015-02-06,22.73304557800293
2015-02-09,23.205364227294922
2015-02-10,22.68512535095215
2015-02-11,22.698816299438477
2015-02-12,23.31489372253418
2015-02-13,24.095247268676758
2015-02-17,23.80774688720703
2015-02-18,23.80774688720703
2015-02-19,23.65715217590332
2015-02-20,23.8898868560791
2015-02-23,23.30804443359375
2015-02-24,23.691375732421875
2015-02-25,23.609237670898438
2015-02-26,23.280662536621094
2015-02-27,23.266969680786133
2015-03-02,23.054767608642578
2015-03-03,22.993160247802734
2015-03-04,22.767269134521484
2015-03-05,22.596139907836914
2015-03-06,22.075899124145508
2015-03-09,21.959529876708984
2015-03-10,21.446138381958008
2015-03-11,21.480365753173828
2015-03-12,21.69256591796875
2015-03-13,21.199708938598633
2015-03-16,21.15863800048828
2015-03-17,21.398221969604492
2015-03-18,22.021135330200195
2015-03-19,21.268159866333008
2015-03-20,21.870542526245117
2015-03-23,22.4523868560791
2015-03-24,22.158042907714844
2015-03-25,22.082744598388672
2015-03-26,21.706256866455078
2015-03-27,21.288698196411133
2015-03-30,21.665184020996094
2015-03-31,21.363996505737305
2015-04-01,21.144948959350586
2015-04-02,21.480365753173828
2015-04-06,21.67203140258789
2015-04-07,21.932151794433594
2015-04-08,21.959529876708984
2015-04-09,21.986913681030273
2015-04-10,21.925302505493164
2015-04-13,21.706256866455078
2015-04-14,22.397626876831055
2015-04-15,22.869949340820312
2015-04-16,22.48661231994629
2015-04-17,22.048519134521484
2015-04-20,22.219650268554688
2015-04-21,22.199113845825195
2015-04-22,22.75358009338379
2015-04-23,23.80774688720703
2015-04-24,24.30060386657715
2015-04-27,24.499116897583008
2015-04-28,24.670246124267578
2015-04-29,23.94465446472168
2015-04-30,24.129472732543945
2015-05-01,24.464893341064453
2015-05-04,24.594947814941406
2015-05-05,25.067270278930664
2015-05-06,24.718162536621094
2015-05-07,24.293758392333984
2015-05-08,24.478578567504883
2015-05-11,24.670246124267578
2015-05-12,24.444358825683594
2015-05-13,24.348522186279297
2015-05-14,24.519649505615234
2015-05-15,24.444358825683594
2015-05-18,23.99256706237793
2015-05-19,23.45179557800293
2015-05-20,23.609237670898438
2015-05-21,23.45179557800293
2015-05-22,23.486021041870117
2015-05-26,22.938398361206055
2015-05-27,23.0889949798584
2015-05-28,22.85625648498535
2015-05-29,22.623516082763672
2015-06-01,22.445547103881836
2015-06-02,23.376501083374023
2015-06-03,23.287511825561523
2015-06-04,22.883638381958008
2015-06-05,22.698816299438477
2015-06-08,22.4592342376709
2015-06-09,22.47292709350586
2015-06-10,22.945249557495117
2015-06-11,22.917865753173828
2015-06-12,22.794647216796875
2015-06-15,22.322328567504883
2015-06-16,22.233341217041016
2015-06-17,22.14435386657715
2015-06-18,22.404470443725586
2015-06-19,22.116973876953125
2015-06-22,22.13750457763672
2015-06-23,22.33601951599121
2015-06-24,22.123817443847656
2015-06-25,21.8294734954834
2015-06-26,21.870542526245117
2015-06-29,21.309232711791992
2015-06-30,20.836912155151367
2015-07-01,20.720544815063477
2015-07-02,20.611019134521484
2015-07-06,20.02232551574707
2015-07-07,20.00179100036621
2015-07-08,19.194055557250977
2015-07-09,19.269351959228516
2015-07-10,19.467863082885742
2015-07-13,20.19346046447754
2015-07-14,19.96072006225586
2015-07-15,19.413105010986328
2015-07-16,19.37203025817871
2015-07-17,18.99554443359375
2015-07-20,18.708044052124023
2015-07-21,18.797027587890625
2015-07-22,18.324708938598633
2015-07-23,18.358936309814453
2015-07-24,17.825008392333984
2015-07-27,17.742862701416016
2015-07-28,18.434234619140625
2015-07-29,18.96131706237793
2015-07-30,18.516372680664062
2015-07-31,18.420541763305664
2015-08-03,18.228872299194336
2015-08-04,18.40000343322754
2015-08-05,18.625898361206055
2015-08-06,19.016077041625977
2015-08-07,18.619054794311523
2015-08-10,19.419946670532227
2015-08-11,18.63274383544922
2015-08-12,18.550601959228516
2015-08-13,18.160425186157227
2015-08-14,18.331552505493164
2015-08-17,18.358936309814453
2015-08-18,18.0577449798584
2015-08-19,17.54435157775879
2015-08-20,17.373220443725586
2015-08-21,16.798221588134766
2015-08-24,15.8535795211792
2015-08-25,15.689290046691895
2015-08-26,16.100006103515625
2015-08-27,17.229469299316406
2015-08-28,17.304767608642578
2015-08-31,17.380064010620117
2015-09-01,16.709232330322266
2015-09-02,17.058338165283203
2015-09-03,17.161020278930664
2015-09-04,16.565481185913086
2015-09-08,17.133636474609375
2015-09-09,17.017269134521484
2015-09-10,17.19524383544922
2015-09-11,17.092561721801758
2015-09-14,16.763994216918945
2015-09-15,16.709232330322266
2015-09-16,17.099409103393555
2015-09-17,17.092561721801758
2015-09-18,16.53125762939453
2015-09-21,16.414888381958008
2015-09-22,15.73720932006836
2015-09-23,15.169052124023438
2015-09-24,15.511314392089844
2015-09-25,15.210124015808105
